min_score,max_wait,min_atr,require_structural,setups,breakouts,unique_breakouts,breakout_rate,win_rate_5bar,unique_win_rate,unique_expectancy,win_loss_ratio,expectancy,with_trend_wr,stop_rate,validation,score
2,10,0.1,False,7928,3302,3302,0.41649848637739656,0.49485160508782555,0.49485160508782555,0.015606510022979761,1.1668268436021876,0.015606510022979761,0.5043656908063687,0.17050272562083585,逻辑需要调整,0.8967973785262244
2,10,0.1,True,7206,3057,3057,0.4242298084929226,0.49525678770035986,0.49525678770035986,0.01319224994162528,1.1468798662447506,0.01319224994162528,0.5033333333333333,0.17795224075891397,逻辑需要调整,0.729401396148039
2,10,0.25,False,7928,2419,2419,0.30512108980827446,0.4919388176932617,0.4919388176932617,0.016631553499415155,1.1828512713874864,0.016631553499415155,0.49654218533886585,0.13931376601901613,逻辑需要调整,0.8179951926470318
2,10,0.25,True,7206,2253,2253,0.31265611990008324,0.4931202840656902,0.4931202840656902,0.011839689776096354,1.1389784481124605,0.011839689776096354,0.49776119402985075,0.1442521083000444,逻辑需要调整,0.561980076380768
2,10,0.5,False,7928,1369,1369,0.17267911200807265,0.5010956902848794,0.5010956902848794,0.0033033212046516686,1.0229274681024394,0.0033033212046516686,0.501207729468599,0.09495982468955443,逻辑需要调整,0.12222288457211174
2,10,0.5,True,7206,1282,1282,0.17790729947266168,0.5070202808112324,0.5070202808112324,0.002653641406653584,0.9942070392099357,0.002653641406653584,0.5116279069767442,0.09750390015600624,逻辑需要调整,0.09501370375249257
2,15,0.1,False,7928,4214,4214,0.5315338042381433,0.49549121974371146,0.49549121974371146,0.015062924975842343,1.1599048608128264,0.015062924975842343,0.5065093572009765,0.16943521594684385,逻辑需要调整,0.97781473756565
2,15,0.1,True,7206,3885,3885,0.5391340549542049,0.4954954954954955,0.4954954954954955,0.013890262407043871,1.1539958829550196,0.013890262407043871,0.5064130915524104,0.17477477477477477,逻辑需要调整,0.8657768356374772
2,15,0.25,False,7928,3244,3244,0.4091826437941473,0.49599260172626386,0.49599260172626386,0.017120935403102805,1.1705900511709575,0.017120935403102805,0.50498687664042,0.13594327990135635,逻辑需要调整,0.9751421106313164
2,15,0.25,True,7206,3008,3008,0.4174299195115182,0.4966755319148936,0.4966755319148936,0.014369799184290447,1.1488840641489326,0.014369799184290447,0.50625,0.13996010638297873,逻辑需要调整,0.7881150390769598
2,15,0.5,False,7928,2037,2037,0.2569374369323915,0.5002454590083456,0.5002454590083456,0.008593865358157246,1.0715839943558874,0.008593865358157246,0.5057283142389526,0.0937653411880216,逻辑需要调整,0.3878680972890827
2,15,0.5,True,7206,1872,1872,0.2597835137385512,0.5037393162393162,0.5037393162393162,0.011864495658043372,1.0898728688994972,0.011864495658043372,0.514745308310992,0.09615384615384616,逻辑需要调整,0.5133365694311429
2,20,0.1,False,7928,4853,4853,0.6121342078708375,0.49268493715227696,0.49268493715227696,0.012594164031523539,1.147989406740626,0.012594164031523539,0.5053229240596168,0.16711312590150423,逻辑需要调整,0.8773532538377155
2,20,0.1,True,7206,4446,4446,0.6169858451290591,0.4916779127305443,0.4916779127305443,0.011517640000112683,1.1467528722569253,0.011517640000112683,0.5060100814269096,0.17251461988304093,逻辑需要调整,0.7679770273853131
2,20,0.25,False,7928,3934,3934,0.4962159434914228,0.4954245043213015,0.4954245043213015,0.013837264137596991,1.1420271287505424,0.013837264137596991,0.5034632034632035,0.13218098627351296,逻辑需要调整,0.8678954448853915
2,20,0.25,True,7206,3615,3615,0.5016652789342215,0.4954356846473029,0.4954356846473029,0.011277772508569206,1.1232952754982843,0.011277772508569206,0.5044832468145352,0.13582295988934992,逻辑需要调整,0.6780746066691092
2,20,0.5,False,7928,2640,2640,0.3329969727547931,0.49507575757575756,0.49507575757575756,-0.0027104240527764806,0.997659471805869,-0.0027104240527764806,0.5012771392081737,0.09545454545454546,暂不建议进入实盘,-0.13926410937888808
2,20,0.5,True,7206,2433,2433,0.3376353039134055,0.4969173859432799,0.4969173859432799,0.002034834172709707,1.030167789846717,0.002034834172709707,0.5080027835768963,0.09741060419235512,逻辑需要调整,0.10036911087914135
2,30,0.1,False,7928,5608,5608,0.7073662966700303,0.49072753209700426,0.49072753209700426,0.019344583550842218,1.2213025205719519,0.019344583550842218,0.50734394124847,0.1615549215406562,逻辑需要调整,1.4486497212000318
2,30,0.1,True,7206,5143,5143,0.7137107965584235,0.48881975500680536,0.48881975500680536,0.013438127864622298,1.1780276590906225,0.013438127864622298,0.5065239210438274,0.16663426015944002,逻辑需要调整,0.9637114773842015
2,30,0.25,False,7928,4853,4853,0.6121342078708375,0.4930970533690501,0.4930970533690501,0.018879864848141623,1.2001666174488153,0.018879864848141623,0.5008787346221442,0.12342880692355244,逻辑需要调整,1.3152370268540599
2,30,0.25,True,7206,4457,4457,0.6185123508187621,0.4947273951088176,0.4947273951088176,0.012958831826472186,1.1431256636297646,0.012958831826472186,0.5040276179516686,0.12721561588512453,逻辑需要调整,0.8651415511471843
2,30,0.5,False,7928,3641,3641,0.4592583249243189,0.489975281516067,0.489975281516067,0.008890666936314087,1.1176019012089962,0.008890666936314087,0.4962962962962963,0.08953584180170283,逻辑需要调整,0.5364690607689859
2,30,0.5,True,7206,3361,3361,0.46641687482653343,0.4921154418327879,0.4921154418327879,0.007600327786743313,1.1004399749735403,0.007600327786743313,0.5040241448692153,0.09223445403153824,逻辑需要调整,0.44062240758730464
3,10,0.1,False,6098,2642,2642,0.4332568055100033,0.49167297501892504,0.49167297501892504,0.013152687166648469,1.1607371006338272,0.013152687166648469,0.5019305019305019,0.17903103709311127,逻辑需要调整,0.676053238123468
3,10,0.1,True,6062,2624,2624,0.43286044209831737,0.49085365853658536,0.49085365853658536,0.013532462873353288,1.1719126369481125,0.013532462873353288,0.4993514915693904,0.17911585365853658,逻辑需要调整,0.6932003281322289
3,10,0.25,False,6098,1968,1968,0.3227287635290259,0.5005081300813008,0.5005081300813008,0.01131000041986531,1.097832508720102,0.01131000041986531,0.5042881646655232,0.14989837398373984,逻辑需要调整,0.5017358901760882
3,10,0.25,True,6062,1957,1957,0.3228307489277466,0.49923352069494126,0.49923352069494126,0.012207495534795498,1.11550764158948,0.012207495534795498,0.501727115716753,0.15022994379151763,逻辑需要调整,0.5400350986122345
3,10,0.5,False,6098,1134,1134,0.18596261069203018,0.5132275132275133,0.5132275132275133,0.007442543466304519,1.0086947088258502,0.007442543466304519,0.5206489675516224,0.09700176366843033,逻辑需要调整,0.25062702963375993
3,10,0.5,True,6062,1129,1129,0.1862421643022105,0.5110717449069974,0.5110717449069974,0.004683924337187562,0.994932393189704,0.004683924337187562,0.5178041543026706,0.0983170947741364,逻辑需要调整,0.15738264575500746
3,15,0.1,False,6098,3327,3327,0.545588717612332,0.4905320108205591,0.4905320108205591,0.01378934900246398,1.174602012775943,0.01378934900246398,0.5069839627521987,0.17493237150586113,逻辑需要调整,0.7953717542435152
3,15,0.1,True,6062,3307,3307,0.5455295282085121,0.490172361657091,0.490172361657091,0.01412338159855793,1.1827305430854387,0.01412338159855793,0.5046875,0.1747807680677351,逻辑需要调整,0.8121865457045254
3,15,0.25,False,6098,2617,2617,0.4291571006887504,0.5013374092472297,0.5013374092472297,0.014786841305489087,1.1299680398552945,0.014786841305489087,0.5091863517060368,0.14214749713412303,逻辑需要调整,0.7564448549313827
3,15,0.25,True,6062,2602,2602,0.42923127680633455,0.5007686395080707,0.5007686395080707,0.01573835345977158,1.1456037404365709,0.01573835345977158,0.5072751322751323,0.1425826287471176,逻辑需要调整,0.8028103092035378
3,15,0.5,False,6098,1664,1664,0.272876352902591,0.5096153846153846,0.5096153846153846,0.010352297175290875,1.0509170166904613,0.010352297175290875,0.5217391304347826,0.09555288461538461,逻辑需要调整,0.4222925224585571
3,15,0.5,True,6062,1650,1650,0.2721873968987133,0.5084848484848485,0.5084848484848485,0.010561031729919873,1.0577241904118715,0.010561031729919873,0.5209825997952917,0.09696969696969697,逻辑需要调整,0.42899113683224005
3,20,0.1,False,6098,3809,3809,0.6246310265660873,0.4880546075085324,0.4880546075085324,0.01127366536495003,1.1608909126137954,0.01127366536495003,0.5070550751024124,0.17274875295353112,逻辑需要调整,0.6957778932016802
3,20,0.1,True,6062,3782,3782,0.6238865061035962,0.48704389212057114,0.48704389212057114,0.011142352594489799,1.166283648398218,0.011142352594489799,0.504355800091701,0.17265996827075622,逻辑需要调整,0.6852320371287588
3,20,0.25,False,6098,3134,3134,0.5139389963922597,0.498085513720485,0.498085513720485,0.008475415415909668,1.0847237940479004,0.008475415415909668,0.5057283142389526,0.1400765794511806,逻辑需要调整,0.47447189244885496
3,20,0.25,True,6062,3114,3114,0.5136918508742989,0.49710982658959535,0.49710982658959535,0.008999958068968139,1.0956969742035323,0.008999958068968139,0.5033003300330033,0.14065510597302505,逻辑需要调整,0.5022266915320981
3,20,0.5,False,6098,2122,2122,0.3479829452279436,0.5009425070688031,0.5009425070688031,0.0024362890720592695,1.0172334400809817,0.0024362890720592695,0.5151033386327504,0.09707822808671066,逻辑需要调整,0.11222807325830891
3,20,0.5,True,6062,2107,2107,0.34757505773672054,0.49881347887992405,0.49881347887992405,0.0018208694240964551,1.0205721860808024,0.0018208694240964551,0.5128617363344051,0.09824394874228762,逻辑需要调整,0.08358167516505584
3,30,0.1,False,6098,4386,4386,0.7192522138406034,0.4851801185590515,0.4851801185590515,0.012423612552633884,1.1854533843086639,0.012423612552633884,0.5041551246537396,0.16803465572275422,逻辑需要调整,0.8227771319689327
3,30,0.1,True,6062,4356,4356,0.7185747278126031,0.48461891643709826,0.48461891643709826,0.012482061005929565,1.1906157894036444,0.012482061005929565,0.5017935432443205,0.16781450872359963,逻辑需要调整,0.8238160263913513
3,30,0.25,False,6098,3816,3816,0.625778943916038,0.4981656184486373,0.4981656184486373,0.010361627250369626,1.1039174804226999,0.010361627250369626,0.50881156800723,0.12971698113207547,逻辑需要调整,0.6400768909714667
3,30,0.25,True,6062,3792,3792,0.6255361266908611,0.497626582278481,0.497626582278481,0.01096256603021381,1.1139288515102637,0.01096256603021381,0.5077413479052824,0.13027426160337552,逻辑需要调整,0.6750662354481205
3,30,0.5,False,6098,2907,2907,0.4767136766152837,0.4957000343997248,0.4957000343997248,0.0031368161529096716,1.0451857734021142,0.0031368161529096716,0.5090484530064214,0.09287925696594428,逻辑需要调整,0.169126468900612
3,30,0.5,True,6062,2886,2886,0.4760805014846585,0.49480249480249483,0.49480249480249483,0.002623933633036382,1.0443654890187377,0.002623933633036382,0.5076650943396226,0.0939015939015939,逻辑需要调整,0.14096166135773391
4,10,0.1,False,3262,1462,1462,0.44819129368485594,0.4849521203830369,0.4849521203830369,0.00019506568188656925,1.0640118995446908,0.00019506568188656925,0.49150485436893204,0.19151846785225718,逻辑需要调整,0.007458552594526179
4,10,0.1,True,3262,1462,1462,0.44819129368485594,0.4849521203830369,0.4849521203830369,0.00019506568188656925,1.0640118995446908,0.00019506568188656925,0.49150485436893204,0.19151846785225718,逻辑需要调整,0.007458552594526179
4,10,0.25,False,3262,1085,1085,0.33261802575107297,0.4976958525345622,0.4976958525345622,0.005549708847182214,1.061579346734168,0.005549708847182214,0.5058236272878536,0.15299539170506912,逻辑需要调整,0.18280373654007842
4,10,0.25,True,3262,1085,1085,0.33261802575107297,0.4976958525345622,0.4976958525345622,0.005549708847182214,1.061579346734168,0.005549708847182214,0.5058236272878536,0.15299539170506912,逻辑需要调整,0.18280373654007842
4,10,0.5,False,3262,626,626,0.19190680564071122,0.5191693290734825,0.5191693290734825,0.004226927763180399,0.9603581707187712,0.004226927763180399,0.5289017341040463,0.0926517571884984,逻辑需要调整,0.1057576988463768
4,10,0.5,True,3262,626,626,0.19190680564071122,0.5191693290734825,0.5191693290734825,0.004226927763180399,0.9603581707187712,0.004226927763180399,0.5289017341040463,0.0926517571884984,逻辑需要调整,0.1057576988463768
4,15,0.1,False,3262,1844,1844,0.5652973635806254,0.4848156182212581,0.4848156182212581,0.002492647428746206,1.087773467188096,0.002492647428746206,0.5009708737864078,0.19088937093275488,逻辑需要调整,0.1070388199684613
4,15,0.1,True,3262,1844,1844,0.5652973635806254,0.4848156182212581,0.4848156182212581,0.002492647428746206,1.087773467188096,0.002492647428746206,0.5009708737864078,0.19088937093275488,逻辑需要调整,0.1070388199684613
4,15,0.25,False,3262,1441,1441,0.4417535254445126,0.49479528105482307,0.49479528105482307,0.0002901865855636926,1.0237865152972698,0.0002901865855636926,0.5037783375314862,0.14989590562109645,逻辑需要调整,0.011015629562110633
4,15,0.25,True,3262,1441,1441,0.4417535254445126,0.49479528105482307,0.49479528105482307,0.0002901865855636926,1.0237865152972698,0.0002901865855636926,0.5037783375314862,0.14989590562109645,逻辑需要调整,0.011015629562110633
4,15,0.5,False,3262,926,926,0.2838749233599019,0.5151187904967602,0.5151187904967602,0.00046305521452562337,0.9450573035300934,0.00046305521452562337,0.5295275590551181,0.09503239740820735,逻辑需要调整,0.014090885066368884
4,15,0.5,True,3262,926,926,0.2838749233599019,0.5151187904967602,0.5151187904967602,0.00046305521452562337,0.9450573035300934,0.00046305521452562337,0.5295275590551181,0.09503239740820735,逻辑需要调整,0.014090885066368884
4,20,0.1,False,3262,2093,2093,0.6416309012875536,0.4816053511705686,0.4816053511705686,4.9612694543552105e-05,1.0768878257932517,4.9612694543552105e-05,0.5004284490145673,0.18824653607262304,逻辑需要调整,0.002269746886661966
4,20,0.1,True,3262,2093,2093,0.6416309012875536,0.4816053511705686,0.4816053511705686,4.9612694543552105e-05,1.0768878257932517,4.9612694543552105e-05,0.5004284490145673,0.18824653607262304,逻辑需要调整,0.002269746886661966
4,20,0.25,False,3262,1727,1727,0.529429797670141,0.4916039374638101,0.4916039374638101,-0.004967239650205832,0.9882288626082386,-0.004967239650205832,0.5020833333333333,0.14881297046902142,暂不建议进入实盘,-0.20642451948697954
4,20,0.25,True,3262,1727,1727,0.529429797670141,0.4916039374638101,0.4916039374638101,-0.004967239650205832,0.9882288626082386,-0.004967239650205832,0.5020833333333333,0.14881297046902142,暂不建议进入实盘,-0.20642451948697954
4,20,0.5,False,3262,1206,1206,0.36971183323114654,0.5016583747927031,0.5016583747927031,-0.009329034750751461,0.9161143335124163,-0.009329034750751461,0.518796992481203,0.09618573797678276,逻辑需要调整,-0.3239741542054835
4,20,0.5,True,3262,1206,1206,0.36971183323114654,0.5016583747927031,0.5016583747927031,-0.009329034750751461,0.9161143335124163,-0.009329034750751461,0.518796992481203,0.09618573797678276,逻辑需要调整,-0.3239741542054835
4,30,0.1,False,3262,2379,2379,0.7293071735131821,0.47835224884405214,0.47835224884405214,0.0037357830118746466,1.1293410334398923,0.0037357830118746466,0.49924242424242427,0.17906683480453972,逻辑需要调整,0.18221279246913172
4,30,0.1,True,3262,2379,2379,0.7293071735131821,0.47835224884405214,0.47835224884405214,0.0037357830118746466,1.1293410334398923,0.0037357830118746466,0.49924242424242427,0.17906683480453972,逻辑需要调整,0.18221279246913172
4,30,0.25,False,3262,2093,2093,0.6416309012875536,0.4921165790731008,0.4921165790731008,0.0005627306479051297,1.0374522033188747,0.0005627306479051297,0.5065160729800173,0.13712374581939799,逻辑需要调整,0.02574454275993234
4,30,0.25,True,3262,2093,2093,0.6416309012875536,0.4921165790731008,0.4921165790731008,0.0005627306479051297,1.0374522033188747,0.0005627306479051297,0.5065160729800173,0.13712374581939799,逻辑需要调整,0.02574454275993234
4,30,0.5,False,3262,1631,1631,0.5,0.5027590435315757,0.5027590435315757,-0.009363341623367424,0.9113664290493149,-0.009363341623367424,0.512735326688815,0.09748620478234211,逻辑需要调整,-0.3781445534798145
4,30,0.5,True,3262,1631,1631,0.5,0.5027590435315757,0.5027590435315757,-0.009363341623367424,0.9113664290493149,-0.009363341623367424,0.512735326688815,0.09748620478234211,逻辑需要调整,-0.3781445534798145
